Азербайджана Баку
Армении Ереван
Афганистана Кабул
Бангладеша Дакка
Бахрейна Манама
Брунея Бандар-Сери-Бегаван
Бутана Тхимпху
Тимора Дили
Вьетнама Ханой
Грузии Тбилиси
Израиля Иерусалим
Индии Дели
Индонезии Джакарта
Иордании Амман
Ирака Багдад
Ирана Тегеран
Йемена Сана
Казахстана Астана
Камбоджи Пномпень
Катара Доха
Кипра Никосия
Киргизии Бишкек
Тайваня Тайбэй
КНДР Пхеньян
КНР Пекин
Кувейта Эль-Кувейт
Лаоса Вьентьян
Ливана Бейрут
Малайзии Куала-Лумпур
Мальдив Мале
Монголии Улан-Батор;
Мьянмы Нейпьидо;
Непала Катманду;
ОАЭ Абу-Даби
Омана Маскат
Пакистана Исламабад
Республики_Кореи Сеул
Саудовской_Аравии Эр-Рияд
Сингапура Сингапур
Сирии Дамаск
Таджикистана Душанбе
Таиланда Бангкок
Туркмении Ашхабад
Турции Анкара
Узбекистана Ташкент
Филиппин Манила
Шри-Ланки Шри-Джаяварденепура-Котте
Японии Токио
Антигуа_и_Барбуды Сент-Джонс
Аргентины Буэнос-Айрес
Багам Нассау
Барбадоса Бриджтаун
Белизы Бельмопан
Боливии Сукре
Бразилии Бразилия
Венесуэлы Каракас
Гаити Порт-о-Пренс
Гайаны Джорджтаун
Гватемалы Гватемала
Гвианы Кайенна
Гондураса Тегусигальпа
Гренады Сент-Джорджес
Доминики Розо
Доминиканской_Республики Санто-Доминго
Канады Оттава
Колумбии Богота
Коста-Рики Сан-Хосе
Кубы Гавана
Мексики Мехико
Никарагуа Манагуа
Панамы Панама
Парагвая Асунсьон
Перу Лима
Сальвадора Сан-Сальвадор
Сент-Винсент_и_Гренадин Кингстаун
Сент-Китс_и_Невиса Бастер
Сент-Люсии Кастри
Суринам Парамарибо
США Вашингтон
Тринидад_и_Тобаго Порт-оф-Спейн
Уругвая Монтевидео
Чили Сантьяго
Эквадора Кито
Ямайки Кингстон
Австралии Канберра
Вануаты Порт-Вила
Кирибати Тарава
Маршалловы_Острова Маджуро
Микронезии Паликир
Новой_Зеландии Веллингтон
Палау Нгерулмуд
Папуа-Новой_Гвинеи Порт-Морсби
Самоа Апиа
Соломоновых_Островов Хониара
Тонги Нукуалофа
Тувалу Фунафути
Фиджи Сува
Австрии Вена
Албании Тирана
Андорры Андорра
Беларуси Минск
Бельгии Брюссель
Болгарии София
Боснии_и_Герцеговины Сараево
Ватикана Ватикан
Великобритании Лондон
Венгрии Будапешт
Германии Берлин
Греции Афины
Дании Копенгаген
Ирландии Дублин
Исландии Рейкьявик
Испании Мадрид
Италии Рим
Латвии Рига
Литвы Вильнюс
Лихтенштейна Вадуц
Люксембурга Люксембург
Македонии Скопье
Мальты Валлетта
Молдавии Кишинёв
Монако Монако
Нидерланд Амстердам
Норвегии Осло
Польши Варшава
Португалии Лиссабон
России Москва
Румынии Бухарест
Сан-Марино Сан-Марино
Сербии Белград
Словакии Братислава
Словении Любляна
Украины Киев
Финляндии Хельсинки
Франции Париж
Хорватии Загреб
Черногории Подгорица
Чехии Прага
Швейцарии Берн
Швеции Стокгольм
Эстонии Таллин
Алжира Алжир
Анголы Луанда
Бенина Порто-Ново
Ботсваны Габороне
Буркина-Фасо Уагадугу
Бурунди Бужумбура
Габона Либревиль
Гамбии Банжул
Ганы Аккра
Гвинеи Конакри
Гвинеи-Бисау Бисау
Джибути Джибути
Египта Каир
Замбии Лусака
Зимбабве Хараре
Кабо-Верде Прая
Камеруна Яунде
Кении Найроби
Коморы Морони
Кот-д’Ивуар Ямусукро
Лесото Масеру
Либерии Монровия
Ливии Триполи
Маврикия Порт-Луи
Мавритании Нуакшот
Мадагаскара Антананариву
Малавии Лилонгве
Мали Бамако
Марокко Рабат
Мозамбика Мапуту
Намибии Виндхук
Нигера Ниамей
Нигерии Абуджа
Республики_Конго Браззавиль
Руанды Кигали
Сан-Томе_и_Принсипи Сан-Томе
Свазиленда Мбабане
Сейшельских_Островов Виктория
Сенегала Дакар
Сомали Могадишо
Судана Хартум
Сьерра-Леона Фритаун
Танзании Додома
Того Ломе
Туниса Тунис
Уганды Кампала
Центральноафриканской_Республики Банги
Чада Нджамена
Экваториальной_Гвинеи Малабо
Эритрея Асмэра
Эфиопии Аддис-Абеба
Южно_Африканской_Республики Претория
Южного_Судана Джуба
